"trackingcode","trackingcode","event31","event95","event29","event30","event94","event38","event33","event32"
"em_5158258",NA,9,0,0,50,0,0,0,0
"em_5205055",NA,8,7,-1,681,373,0,1,5
"em_5281892",NA,8,6,0,457,229,0,0,7
"em_5141302",NA,8,6,0,406,162,0,0,3
"em_5218069",NA,8,5,0,428,178,0,0,2
"em_5035563",NA,8,5,0,156,59,0,0,4
"em_5032599",NA,8,4,0,261,96,0,0,3
"em_5272378",NA,8,4,0,70,9,0,0,0
"em_5063196",NA,8,3,0,340,101,0,0,2
"em_5302530",NA,8,3,0,84,10,0,0,0
"em_5367386",NA,8,2,24,4,2,24,0,0
"em_5370081",NA,8,1,1,2,1,1,0,0
"em_5154679",NA,8,0,0,4,0,0,0,0
"em_5121263",NA,7,6,0,300,107,0,0,4
"em_5218070",NA,7,6,-1,309,151,0,1,2
"em_5259210",NA,7,5,0,294,133,0,0,3
"em_5318047",NA,7,5,0,38,1,0,0,0
"em_5357873",NA,7,4,50,12,5,50,0,0
"em_4930365",NA,7,4,0,196,42,0,0,0
"em_4955077",NA,7,4,0,79,4,0,0,0
"em_4957976",NA,7,3,0,101,4,0,0,0
"em_5325186",NA,7,3,0,58,9,0,0,0
"em_5340689",NA,7,3,0,39,6,0,0,0
"em_4855537",NA,7,2,0,96,19,0,0,0
"em_5194091",NA,7,2,0,26,1,0,0,0
"em_5340695",NA,7,2,0,14,2,0,0,0
"em_5370103",NA,7,1,1,4,1,1,0,0
"em_5358630",NA,7,1,1,3,1,1,0,0
"em_5038533",NA,7,1,0,88,6,0,0,0
"em_5056438",NA,7,1,0,64,4,0,0,0
"em_5282091",NA,7,1,0,30,3,0,0,0
"em_5120935",NA,7,1,0,21,1,0,0,0
"em_4937808",NA,7,1,0,16,2,0,0,0
"em_5133776",NA,7,0,0,27,0,0,0,0
"em_5194010",NA,7,0,0,19,0,0,0,0
"em_5296093",NA,7,0,0,10,1,0,0,0
"em_4951687",NA,7,0,0,4,0,0,0,0
"em_5158721",NA,6,4,0,360,180,0,0,3
"em_5272807",NA,6,4,0,251,124,0,0,5
"em_5142509",NA,6,4,0,206,109,0,0,1
"em_5296097",NA,6,3,0,72,16,0,0,0
"em_5187782",NA,6,3,0,14,1,0,0,0
"em_5122186",NA,6,2,0,125,53,0,0,7
"em_4857596",NA,6,2,0,98,31,0,0,1
"em_5231612",NA,6,2,0,44,3,0,0,0
"em_5059698",NA,6,2,0,25,2,0,0,0
"em_5018458",NA,6,0,0,13,1,0,0,0
"em_5343456",NA,6,0,0,5,0,0,0,0
"em_4996678",NA,5,4,0,266,88,0,0,1
"em_5292730",NA,5,4,0,88,14,0,0,0
"em_5189971",NA,5,4,0,75,40,0,0,4
"em_5349063",NA,5,4,0,14,11,0,0,0
"em_5359500",NA,5,3,103,155,40,103,0,1
"em_5355318",NA,5,3,41,36,7,46,5,0
"em_5243062",NA,5,3,0,362,158,0,0,1
"em_5099729",NA,5,3,0,63,2,0,0,0
"em_5321812",NA,5,3,0,57,9,0,0,0
"em_5340690",NA,5,3,0,57,2,0,0,0
"em_5194152",NA,5,3,0,20,1,0,0,0
"em_5356042",NA,5,2,198,10,5,198,0,0
"em_5325709",NA,5,2,0,84,7,0,0,0
"em_4964635",NA,5,2,0,72,4,0,0,0
"em_5248783",NA,5,2,0,45,5,0,0,0
"em_5340692",NA,5,2,0,15,2,0,0,0
"em_5235067",NA,5,2,0,7,0,0,0,0
"em_5250072",NA,5,2,-1,143,65,0,1,4
"em_5359054",NA,5,1,1,23,1,1,0,0
"em_5127558",NA,5,1,0,34,3,0,0,0
"em_5200629",NA,5,1,0,23,1,0,0,0
"em_5120942",NA,5,1,0,19,2,0,0,0
"em_5140994",NA,5,1,0,15,1,0,0,0
"em_5130627",NA,5,1,0,10,2,0,0,0
"em_5154623",NA,5,1,0,6,0,0,0,0
"em_5296099",NA,5,0,0,34,2,0,0,0
"em_4997251",NA,5,0,0,21,0,0,0,0
"em_5238456",NA,5,0,0,8,0,0,0,0
"em_5100782",NA,4,4,0,298,111,0,0,6
"em_5005823",NA,4,4,0,192,74,0,0,2
"em_5337085",NA,4,4,0,122,46,0,0,0
"em_4887458",NA,4,4,0,64,18,0,0,1
"em_5367210",NA,4,3,24,6,4,24,0,0
"em_5259211",NA,4,3,0,317,157,0,0,0
"em_5061291",NA,4,3,0,275,120,0,0,3
"em_5162036",NA,4,3,0,269,127,0,0,3
"em_5042102",NA,4,3,0,144,56,0,0,2
"em_5130649",NA,4,3,0,125,58,0,0,1
"em_4986562",NA,4,3,0,102,62,0,0,2
"em_5200087",NA,4,3,0,52,23,0,0,2
"em_5259213",NA,4,2,0,199,127,0,0,4
"em_4877631",NA,4,2,0,151,40,0,0,1
"em_4978415",NA,4,2,0,132,67,0,0,3
"em_5046816",NA,4,2,0,45,5,0,0,0
"em_4951631",NA,4,2,0,43,3,0,0,0
"em_5197390",NA,4,2,0,26,1,0,0,0
"em_5238383",NA,4,1,0,62,4,0,0,0
"em_5295906",NA,4,1,0,52,10,0,0,1
"em_5299296",NA,4,1,0,45,4,0,0,0
"em_5161459",NA,4,1,0,43,7,0,0,0
"em_5296106",NA,4,1,0,29,7,0,0,1
"em_5217692",NA,4,1,0,19,2,0,0,0
"em_5053261",NA,4,1,0,15,1,0,0,0
"em_5255751",NA,4,1,0,7,0,0,0,0
"em_4861399",NA,4,1,0,6,1,0,0,0
"em_5214013",NA,4,0,0,4,0,0,0,0
"em_5314702",NA,4,0,0,3,0,0,0,0
"em_5293241",NA,4,0,0,3,0,0,0,0
"em_5358105",NA,3,3,18,247,18,18,0,0
"em_5243063",NA,3,3,0,296,176,0,0,8
"em_5259212",NA,3,3,0,188,106,0,0,7
"em_5333433",NA,3,3,0,118,63,0,0,0
"em_5174847",NA,3,3,0,82,33,0,0,0
"em_5228216",NA,3,2,0,119,51,0,0,2
"em_5040119",NA,3,2,0,105,55,0,0,2
"em_4832700",NA,3,2,0,92,18,0,0,0
"em_5278877",NA,3,2,0,61,5,0,0,0
"em_5252266",NA,3,2,0,43,9,0,0,0
"em_5220712",NA,3,2,0,30,1,0,0,0
"em_5107060",NA,3,2,0,20,1,0,0,0
"em_5008691",NA,3,2,0,14,3,0,0,0
"em_5161239",NA,3,2,-1,191,50,0,1,3
"em_5371141",NA,3,1,24,1,1,24,0,0
